국가별,시점,디플레이터
노르웨이,2011,106.7
노르웨이,2012,110.3
노르웨이,2013,113.1
노르웨이,2014,113.4
노르웨이,2015,110.2
노르웨이,2016,108.6
노르웨이,2017,112.9
노르웨이,2018,120.4
노르웨이,2019,119.8
노르웨이,2020,115.5
폴란드,2000,75.9
폴란드,2001,78.3
폴란드,2002,79.7
폴란드,2003,80.4
폴란드,2004,84.3
폴란드,2005,86.5
폴란드,2006,88
폴란드,2007,91.2
폴란드,2008,94.8
폴란드,2009,98.4
폴란드,2010,100
폴란드,2011,103.3
폴란드,2012,105.7
폴란드,2013,106
폴란드,2014,106.6
폴란드,2015,107.6
폴란드,2016,108
폴란드,2017,110
폴란드,2018,111.3
폴란드,2019,114.8
폴란드,2020,119.6
포르투갈,2000,76.9
포르투갈,2001,79.7
포르투갈,2002,83.1
포르투갈,2003,85.9
포르투갈,2004,88
포르투갈,2005,90.9
포르투갈,2006,93.8
포르투갈,2007,96.6
포르투갈,2008,98.3
포르투갈,2009,99.4
포르투갈,2010,100
포르투갈,2011,99.7
포르투갈,2012,99.3
포르투갈,2013,101.6
포르투갈,2014,102.3
포르투갈,2015,104.4
포르투갈,2016,106.2
포르투갈,2017,107.8
포르투갈,2018,109.7
포르투갈,2019,111.6
포르투갈,2020,114.3
슬로바키아,2000,75.4
슬로바키아,2001,79.3
슬로바키아,2002,82.4
슬로바키아,2003,86.8
슬로바키아,2004,91.7
슬로바키아,2005,94.1
슬로바키아,2006,96.8
슬로바키아,2007,97.9
슬로바키아,2008,100.7
슬로바키아,2009,99.5
슬로바키아,2010,100
슬로바키아,2011,101.7
슬로바키아,2012,103
슬로바키아,2013,103.5
슬로바키아,2014,103.3
슬로바키아,2015,103.1
슬로바키아,2016,102.5
슬로바키아,2017,103.8
슬로바키아,2018,105.9
슬로바키아,2019,108.6
슬로바키아,2020,111.1
슬로베니아,2000,67.8
슬로베니아,2001,73.7
슬로베니아,2002,79.2
슬로베니아,2003,83.7
슬로베니아,2004,86.5
슬로베니아,2005,87.8
슬로베니아,2006,89.8
슬로베니아,2007,93.5
슬로베니아,2008,97.7
슬로베니아,2009,101
슬로베니아,2010,100
슬로베니아,2011,101
슬로베니아,2012,101.5
슬로베니아,2013,103.1
슬로베니아,2014,103.6
슬로베니아,2015,104.7
슬로베니아,2016,105.6
슬로베니아,2017,107.1
슬로베니아,2018,109.4
슬로베니아,2019,111.9
슬로베니아,2020,113.3
스페인,2000,74.5
스페인,2001,77.5
스페인,2002,80.7
스페인,2003,83.8
스페인,2004,87.1
스페인,2005,90.7
스페인,2006,94.3
스페인,2007,97.5
스페인,2008,99.7
스페인,2009,99.8
스페인,2010,100
스페인,2011,100
스페인,2012,99.9
스페인,2013,100.3
스페인,2014,100
스페인,2015,100.6
스페인,2016,100.9
스페인,2017,102.2
스페인,2018,103.4
스페인,2019,104.9
스페인,2020,106
