국가별,시점,인당_국민총소득,GDP_성장률,디플레이터,수출,수입,무역의존도_수출,무역의존도_수입,외환보유액,부채비율,국민부담률,평균근로자세금,경제활동참가율 (%),고용률,실업률
영국,2010,39132,2.1,100,406316,560366,16.37,22.58,98073,89.44,32.1,32.6,62.4,70.4,7.8
영국,2011,41711,1.3,102.1,474160,636190,17.83,23.92,109734,103.304,32.7,32.5,62.3,70.3,8
영국,2012,41471,1.4,103.8,467941,638419,17.31,23.61,117093,107.42,32.1,32.1,62.5,71,7.9
영국,2013,41955,2.2,105.6,470119,646342,16.89,23.22,118750,103.324,32.1,31.4,62.6,71.5,7.5
영국,2014,45901,2.9,107.4,473968,673186,15.46,21.96,124488,113.191,32.1,31,62.7,72.9,6.1
영국,2015,43503,2.4,108.1,427194,609711,14.57,20.79,148129,112.633,32.4,30.8,62.8,73.7,5.3
영국,2016,39637,1.7,110.5,394678,576539,14.65,21.41,135044,119.775,32.6,30.9,62.9,74.4,4.8
영국,2017,39407,1.7,112.6,422275,603489,15.86,22.67,150803,117.066,32.8,31,62.9,75,4.3
영국,2018,42003,1.3,115.1,453837,644517,15.88,22.56,172681,113.846,32.9,31,63.1,75.6,4
영국,2019,41149,1.4,117.6,443715,622640,15.67,22,173568,117.154,33,30.9,63.2,76.2,3.7
오스트레일리아,2000,21232,3.9,68,63807,71590,15.37,17.24,18817,41.148,30.5,31,63.1,69.1,6.3
오스트레일리아,2001,19159,1.9,70.3,63318,64310,16.73,17,18664,40.405,28.9,27.6,63.3,69,6.7
오스트레일리아,2002,19788,4,72.6,65020,73017,16.48,18.5,21567,38.673,29.8,28,63.4,69.4,6.4
오스트레일리아,2003,23101,3,74.8,70338,89049,15.08,19.09,33258,35.667,30,28.2,63.6,70,5.9
오스트레일리아,2004,29930,4.1,77.5,86565,109510,14.13,17.88,36926,32.311,30.3,28.2,63.5,70.3,5.4
오스트레일리아,2005,33087,3.2,81,106097,125107,15.3,18.04,43257,30.27,30,28.5,64.4,71.5,5
오스트레일리아,2006,34931,2.8,85.1,123437,139299,16.55,18.67,55079,29.578,29.4,28.3,64.8,72.1,4.8
오스트레일리아,2007,38967,3.8,88.8,141358,165366,16.57,19.38,26908,28.28,29.5,27.7,65.2,72.8,4.4
오스트레일리아,2008,47388,3.7,94.6,187257,200332,17.77,19.01,32924,30.595,26.8,26.9,65.5,73.2,4.2
오스트레일리아,2009,41160,1.9,94.8,154331,165433,16.63,17.83,41742,39.163,25.5,26.7,65.4,72.1,5.6
오스트레일리아,2010,49724,2.1,100,212634,201971,18.55,17.62,42268,41.985,25.3,26.8,65.4,72.4,5.2
오스트레일리아,2011,59481,2.5,104.8,270387,243380,19.36,17.43,46826,46.293,25.9,26.7,65.4,72.7,5.1
오스트레일리아,2012,65453,3.9,104.1,256413,260603,16.58,16.85,49147,59.239,26.9,27.3,65.2,72.3,5.2
오스트레일리아,2013,66093,2.6,105.5,252643,234275,16.03,14.86,52801,55.71,27.1,27.4,64.9,72,5.7
오스트레일리아,2014,60564,2.5,105.9,239975,214141,16.35,14.59,53893,61.368,27.3,27.7,64.7,71.6,6.1
오스트레일리아,2015,55325,2.2,105.2,187742,156872,13.89,11.61,45718,64.18,27.9,28.3,65,72.2,6.1
오스트레일리아,2016,48644,2.8,106.3,192489,146161,15.92,12.09,53586,68.392,27.6,28.6,64.9,72.4,5.7
오스트레일리아,2017,52595,2.3,110.1,231072,175698,17.38,13.22,66584,65.605,28.5,28.6,65.2,73,5.6
오스트레일리아,2018,55725,2.9,112.6,257174,176018,17.95,12.28,53875,65.895,28.7,28.9,65.6,73.8,5.3
오스트레일리아,2019,53645,2.2,116.3,271006,154043,19.41,11.03,58742,75.874,,27.9,66,74.3,5.2
오스트레일리아,2020,51103,-0.3,117.5,250570,146522,18.83,11.01,43006,96.876,,28.4,65,72.7,6.5
뉴질랜드,2000,12862,2.9,77,13298,13906,25.27,26.42,3952,,32.5,19.4,65.2,70.3,6.1
뉴질랜드,2001,13088,3.5,80.3,13729,13308,25.48,24.7,3565,,31.9,19.4,65.8,71.4,5.4
뉴질랜드,2002,15965,4.7,80.8,14383,15047,21.59,22.58,4963,,33.3,19.4,66.5,72.1,5.3
뉴질랜드,2003,20899,4.5,81.9,16526,18560,18.73,21.03,6085,,33.2,19.5,66.3,72.2,4.8
뉴질랜드,2004,24030,4,84.7,20344,23194,19.58,22.32,6947,,34.2,19.7,66.9,73.2,4
뉴질랜드,2005,25949,3.3,86.8,21728,26233,18.94,22.87,8893,,36.1,20,67.7,74.2,3.8
뉴질랜드,2006,24857,2.9,88.8,22434,26430,20.11,23.7,14068,,35.3,20.4,68.2,74.8,3.9
뉴질랜드,2007,30097,3,92.7,26622,30689,19.41,22.37,17247,,33.9,21.1,68.4,75.1,3.7
뉴질랜드,2008,28861,-1.1,96.3,30582,34374,22.97,25.82,11052,,32.9,20.5,68.3,74.6,4.2
뉴질랜드,2009,26923,-0.1,97.2,24921,25568,20.53,21.07,15594,,30.2,18.1,67.9,72.7,6.1
뉴질랜드,2010,31861,1.5,100,31301,30635,21.36,20.91,16723,,30.3,17,67.6,72.1,6.6
뉴질랜드,2011,36360,2.3,102.9,37669,37106,22.38,22.05,17012,,30,15.9,67.9,72.4,6.5
뉴질랜드,2012,37792,2.2,102.5,37301,38253,21.17,21.71,17583,,31.6,16.4,67.6,71.9,6.9
뉴질랜드,2013,40585,2.7,105.9,39445,39641,20.66,20.76,16318,,30.5,16.9,67.8,72.7,5.8
뉴질랜드,2014,42300,3.8,108.3,41623,42519,20.68,21.12,15861,,31.3,17.2,68.7,74.2,5.4
뉴질랜드,2015,37308,3.7,108.5,34354,36550,19.29,20.53,14700,,31.6,17.6,68.8,74.2,5.4
뉴질랜드,2016,39247,3.7,110.5,33740,36063,17.86,19.09,17808,,31.5,17.9,70,75.6,5.2
뉴질랜드,2017,42363,3.6,114.2,38063,40115,18.39,19.38,20684,,31.6,18.1,70.9,76.9,4.7
뉴질랜드,2018,43145,3.2,115.6,39673,43790,18.69,20.63,17657,,32.9,18.4,70.9,77.5,4.3
뉴질랜드,2019,42630,1.6,118.2,39516,42362,18.9,20.26,17814,,32.3,18.8,70.6,77.5,4.1
