국가별,시점,인당_국민총소득,GDP_성장률,디플레이터,수출,수입,무역의존도_수출,무역의존도_수입,외환보유액,부채비율,국민부담률,평균근로자세금,경제활동참가율 (%),고용률,실업률
콜롬비아,2003,2203,3.9,,13129,13882,13.87,14.67,10920,,17.3,,67.4,,13.2
콜롬비아,2004,2686,5.3,,16788,16764,14.34,14.32,13537,,18,,65.9,,12.7
콜롬비아,2005,3329,4.8,77.2,21146,21204,14.52,14.56,14955,,18.3,,65.3,,11.1
콜롬비아,2006,3643,6.7,81.6,24512,26163,15.17,16.19,15437,,19.3,,65,,11.3
콜롬비아,2007,4571,6.7,85.8,30279,32897,14.69,15.96,20952,,19.3,,63.2,60.2,10.3
콜롬비아,2008,5283,3.3,92.5,36787,39666,15.19,16.38,23670,,19,,63.7,60.5,10.5
콜롬비아,2009,5034,1.1,96.4,32846,32891,14.13,14.15,24991,,18.8,,66.6,62.3,11.3
콜롬비아,2010,6105,4.5,100,39713,40486,13.86,14.13,28077,,18.1,,67.8,63.7,11
콜롬비아,2011,7021,6.9,106,56915,54233,16.99,16.19,31910,,18.9,,68.5,65.1,10.1
콜롬비아,2012,7744,3.9,109.9,60125,59048,16.21,15.92,36998,,19.7,,69.4,66.3,9.7
콜롬비아,2013,7930,5.1,112.6,58826,59381,15.39,15.54,43158,,20,,69,66.5,9.1
콜롬비아,2014,7873,4.5,115,54857,64029,14.39,16.8,46807,,19.6,,69.2,67.1,8.6
콜롬비아,2015,6089,3,117.8,36018,54058,12.27,18.42,46223,68.537,19.9,,69.5,67.6,8.3
콜롬비아,2016,5807,2.1,123.8,31768,44890,11.23,15.87,46176,73.091,19.1,,69.1,67.2,8.7
콜롬비아,2017,6260,1.4,130.2,38022,46071,12.19,14.77,47131,75.189,19,,68.9,66.9,8.9
콜롬비아,2018,6557,2.6,135,41905,51230,12.54,15.33,47888,88.967,19.3,,68.4,66.4,9.1
콜롬비아,2019,6283,3.3,141.9,39489,52703,12.21,16.29,52652,82.772,19.7,,67.5,65.2,10
콜롬비아,2020,5227,-6.8,,31056,43489,11.45,16.03,58500,,,,62.7,57.5,15
코스타리카,2000,3615,3.9,36,5932,6339,39.51,42.22,1318,,,,58.9,,5.1
코스타리카,2001,3779,3.5,39.5,5060,6571,31.67,41.13,1330,,,,61,,5.9
코스타리카,2002,3857,3.4,43.4,5289,7315,31.9,44.12,1502,,,,60.7,,6.3
코스타리카,2003,3957,4.3,48,6164,7906,35.69,45.78,1839,,,,61,,6.6
코스타리카,2004,4218,4.4,54.4,6441,8293,34.61,44.56,1922,,,,59.8,,6.4
코스타리카,2005,4501,4,61.4,7151,9641,35.68,48.11,2313,,,,62.1,,6.6
코스타리카,2006,5075,7.3,69.4,8453,12741,37.21,56.09,3115,,,,61.7,,5.7
코스타리카,2007,5946,8.2,76.7,9569,14096,35.59,52.43,4114,,,,62.6,,4.5
코스타리카,2008,6768,4.7,85.5,9606,15289,31.19,49.64,3799,,,,62.1,,4.8
코스타리카,2009,6577,-0.9,93.8,8837,11554,28.74,37.58,4066,,,,61.5,,7.7
코스타리카,2010,7963,5.4,100,9045,13921,24.02,36.97,4627,,,,59.2,,7.2
코스타리카,2011,8919,4.4,104.6,10224,18265,23.91,42.71,4756,,,,58.9,58.1,10.1
코스타리카,2012,9759,4.9,109.5,11267,18316,23.85,38.78,6857,,,,62.5,61.8,9.8
코스타리카,2013,10353,2.5,114.6,11480,18128,22.53,35.58,7331,,,,61.9,61.8,8.8
코스타리카,2014,10399,3.5,121.7,11250,17558,21.63,33.75,7211,,,,62.1,61.7,9.1
코스타리카,2015,11145,3.7,126.5,9422,16274,16.69,28.83,7834,,,,60.8,60.7,9
코스타리카,2016,11505,4.2,129,10500,16143,17.84,27.43,7574,,,,57.8,58.7,8.6
코스타리카,2017,11587,4.2,132.7,10913,16796,18.03,27.75,7150,,,,58.2,59.8,8.1
코스타리카,2018,11803,2.1,136.1,11521,18247,18.48,29.27,7501,,,,60.2,61,9.6
코스타리카,2019,11929,2.2,139.1,11864,17573,18.55,27.48,8937,,,,62.3,61.6,11.5
코스타리카,2020,11393,-4.5,139.4,12443,15237,20.23,24.77,7232,,,,58.7,54.8,17.4
오스트리아,2000,24176,3.4,84.1,67479,72143,34.29,36.66,17650,71.05,42.3,47.3,58.7,68.5,4.7
오스트리아,2001,24036,1.3,85.7,70782,74689,35.87,37.85,15598,72.122,43.9,46.9,58.2,68.4,4
오스트리아,2002,26079,1.7,86.7,78716,78308,36.89,36.7,13182,74.025,42.7,47.1,59,68.8,4.9
오스트리아,2003,31928,0.9,87.8,97255,99615,37.16,38.07,12729,72.532,42.4,47.4,59.2,69,4.8
오스트리아,2004,36570,2.7,89.4,118359,119961,39.33,39.87,12188,71.765,42,48.3,57.3,66.5,5.8
오스트리아,2005,38202,2.2,91.6,125007,127145,39.56,40.24,11828,76.252,41,48.1,58.6,67.4,5.6
오스트리아,2006,40648,3.5,93.4,136933,137388,40.75,40.89,12911,72.686,40.4,48.5,59.1,68.6,5.2
오스트리아,2007,46706,3.7,95.4,163839,163281,42.15,42.01,18219,68.965,40.5,48.8,59.9,69.9,4.9
오스트리아,2008,52015,1.5,97.3,181576,184335,42.2,42.84,16699,74.193,41.4,49,60.2,70.8,4.1
오스트리아,2009,47774,-3.8,99.1,137050,143075,34.25,35.75,18052,86.33,41,47.9,60.5,70.3,5.3
오스트리아,2010,46989,1.8,100,152443,158928,38.9,40.55,22284,90.544,41,48.2,60.4,70.8,4.8
오스트리아,2011,51171,2.9,101.8,177490,191446,41.17,44.41,25161,91.474,41.1,48.5,60.5,71.1,4.6
오스트리아,2012,48204,0.7,103.9,166757,178658,40.73,43.64,27211,97.338,41.8,48.8,60.8,71.4,4.9
오스트리아,2013,50400,0,105.6,175118,183243,40.72,42.61,23290,94.36,42.6,49.2,60.9,71.4,5.3
오스트리아,2014,51372,0.7,107.9,178238,182092,40.33,41.2,24941,101.869,42.7,49.4,60.7,71.1,5.6
오스트리아,2015,43562,1,110.4,152759,156078,40.01,40.88,22236,101.285,43.1,49.6,60.7,71.1,5.7
오스트리아,2016,45218,2,112.4,152054,157657,38.44,39.86,23359,102.534,41.8,47.3,61.2,71.6,6
오스트리아,2017,46747,2.4,113.4,168059,175789,40.38,42.24,21574,96.547,41.8,47.4,61.2,72.2,5.5
오스트리아,2018,50693,2.6,115.3,184778,193682,40.62,42.58,23207,90.954,42.2,47.6,61.4,73,4.9
오스트리아,2019,49949,1.4,117.3,178660,184747,40.14,41.51,23600,88.894,42.4,47.9,61.4,73.5,4.5
벨기에,2000,23565,3.7,83.7,187887,177005,79.54,74.94,12271,121.659,43.8,57.1,52.3,60.5,6.6
벨기에,2001,23352,1.1,85.3,190352,178718,80.47,75.55,13560,120.046,43.7,56.7,50.9,60,6.2
벨기에,2002,25239,1.7,86.7,215971,198223,83.98,77.08,14698,119.532,43.9,56.3,51.2,59.9,6.9
벨기에,2003,31043,1,88.3,255631,234962,80.54,74.03,14449,115.745,43.3,55.7,51.4,59.6,7.7
벨기에,2004,35654,3.6,90,306807,285611,83.25,77.5,13991,111.362,43.5,55.4,52,60.4,7.4
벨기에,2005,37015,2.3,91.9,334278,318589,86.7,82.63,11996,108.988,43.4,55.5,53.3,61.1,8.4
벨기에,2006,38965,2.6,94,366760,351571,89.91,86.19,13437,101.07,43.2,55.5,53.1,61,8.3
벨기에,2007,44577,3.7,95.8,431120,412012,91.66,87.6,16506,94.634,42.9,55.6,53.6,62,7.5
벨기에,2008,48962,0.4,97.6,473350,467382,91.87,90.71,15646,102.367,43.6,55.9,53.7,62.4,7
벨기에,2009,45147,-2,98.1,371147,354782,77.11,73.71,23982,110.73,42.7,55.7,53.5,61.6,7.9
벨기에,2010,44643,2.9,100,407705,391275,84.77,81.35,26814,108.68,42.9,55.9,54.1,62,8.3
벨기에,2011,47529,1.7,101.8,475775,466916,91.03,89.34,29432,111.62,43.5,56.1,53.2,61.9,7.1
벨기에,2012,45799,0.7,103.8,446337,439536,89.95,88.58,30769,120.988,44.3,56,53.3,61.8,7.5
벨기에,2013,47919,0.5,105.1,468624,451580,89.84,86.57,26924,118.656,45,55.7,53.6,61.8,8.4
벨기에,2014,48649,1.6,106.2,472198,453706,88.31,84.86,25395,130.61,44.8,55.6,53.5,61.9,8.5
벨기에,2015,41521,2,107.6,396773,375541,85.85,81.26,24099,126.243,44.1,55.3,53.3,61.8,8.5
벨기에,2016,42301,1.3,109.6,398391,379428,83.74,79.76,23565,127.671,43.3,53.9,53.1,62.3,7.8
