국가별,시점,부채비율
슬로베니아,2003,34.923
슬로베니아,2004,35.181
슬로베니아,2005,34.482
슬로베니아,2006,33.069
슬로베니아,2007,30.345
슬로베니아,2008,29.895
슬로베니아,2009,43.787
슬로베니아,2010,47.866
슬로베니아,2011,51.33
슬로베니아,2012,61.514
슬로베니아,2013,78.506
슬로베니아,2014,99.255
슬로베니아,2015,102.377
슬로베니아,2016,97.208
슬로베니아,2017,88.99
슬로베니아,2018,83.02
슬로베니아,2019,80.928
슬로베니아,2020,101.097
스페인,2000,65.464
스페인,2001,60.915
스페인,2002,59.581
스페인,2003,54.947
스페인,2004,53.065
스페인,2005,50.48
스페인,2006,46.096
스페인,2007,42.353
스페인,2008,47.685
스페인,2009,62.656
스페인,2010,67.377
스페인,2011,78.339
스페인,2012,93.456
스페인,2013,106.557
스페인,2014,119.473
스페인,2015,117.075
스페인,2016,117.331
스페인,2017,115.777
스페인,2018,114.507
스페인,2019,117.317
스페인,2020,146.794
스웨덴,2000,64.173
스웨덴,2001,65.889
스웨덴,2002,66.104
스웨덴,2003,65.157
스웨덴,2004,64.676
스웨덴,2005,65.535
스웨덴,2006,59.339
스웨덴,2007,53.722
스웨덴,2008,52.641
스웨덴,2009,55.974
스웨덴,2010,53.351
스웨덴,2011,53.826
스웨덴,2012,55.144
스웨덴,2013,57.993
스웨덴,2014,64.195
스웨덴,2015,62.324
스웨덴,2016,61.919
스웨덴,2017,60.092
스웨덴,2018,59.198
스웨덴,2019,55.88
스웨덴,2020,63.503
스위스,2000,53.735
스위스,2001,51.901
스위스,2002,57.864
스위스,2003,56.886
스위스,2004,58.019
스위스,2005,55.384
스위스,2006,49.227
스위스,2007,45.679
스위스,2008,45.572
스위스,2009,44.017
스위스,2010,42.631
스위스,2011,42.858
스위스,2012,43.372
스위스,2013,42.599
스위스,2014,42.468
스위스,2015,42.377
스위스,2016,41.187
스위스,2017,41.898
스위스,2018,39.738
스위스,2019,40.997
스위스,2020,44.047
영국,2000,49.409
영국,2001,46.803
영국,2002,49.575
영국,2003,48.676
영국,2004,52.002
영국,2005,52.335
영국,2006,51.337
영국,2007,53.06
영국,2008,65.699
영국,2009,78.771
영국,2010,89.44
영국,2011,103.304
영국,2012,107.42
영국,2013,103.324
영국,2014,113.191
영국,2015,112.633
영국,2016,119.775
영국,2017,117.066
영국,2018,113.846
영국,2019,117.154
영국,2020,144.141
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,41.148
오스트레일리아,2001,40.405
오스트레일리아,2002,38.673
오스트레일리아,2003,35.667
오스트레일리아,2004,32.311
오스트레일리아,2005,30.27
오스트레일리아,2006,29.578
오스트레일리아,2007,28.28
오스트레일리아,2008,30.595
오스트레일리아,2009,39.163
오스트레일리아,2010,41.985
오스트레일리아,2011,46.293
오스트레일리아,2012,59.239
오스트레일리아,2013,55.71
오스트레일리아,2014,61.368
오스트레일리아,2015,64.18
오스트레일리아,2016,68.392
오스트레일리아,2017,65.605
오스트레일리아,2018,65.895
오스트레일리아,2019,75.874
오스트레일리아,2020,96.876
