국가별,시점,외환보유액,금제외
룩셈부르크,2008,398,335
룩셈부르크,2009,810,731
룩셈부르크,2010,849,747
룩셈부르크,2011,1014,901
룩셈부르크,2012,991,871
룩셈부르크,2013,963,876
룩셈부르크,2014,863,777
룩셈부르크,2015,771,694
룩셈부르크,2016,974,891
룩셈부르크,2017,878,785
룩셈부르크,2018,939,847
룩셈부르크,2019,1055,945
룩셈부르크,2020,1189,1050
네덜란드,1995,42882,33714
네덜란드,1996,35389,26767
네덜란드,1997,30666,24865
네덜란드,1998,28717,21418
네덜란드,1999,19050,9886
네덜란드,2000,17688,9643
네덜란드,2001,16897,9034
네덜란드,2002,18948,9563
네덜란드,2003,21597,11167
네덜란드,2004,21603,10655
네덜란드,2005,20448,8986
네덜란드,2006,23902,10802
네덜란드,2007,26983,10270
네덜란드,2008,28509,11476
네덜란드,2009,39609,17871
네덜란드,2010,46240,18471
네덜란드,2011,51268,20264
네덜란드,2012,54816,22050
네덜란드,2013,46250,22591
네덜란드,2014,42921,19307
네덜란드,2015,38205,17341
네덜란드,2016,36133,13342
네덜란드,2017,38442,12893
네덜란드,2018,38468,13195
네덜란드,2019,43285,13331
네덜란드,2020,54038,16734
노르웨이,1995,22563,22518
노르웨이,1996,26561,26517
노르웨이,1997,23439,23400
노르웨이,1998,19086,19048
노르웨이,1999,23843,23807
노르웨이,2000,27854,27597
노르웨이,2001,23538,23278
노르웨이,2002,32403,32000
노르웨이,2003,37711,37220
노르웨이,2004,44308,44308
노르웨이,2005,46986,46986
노르웨이,2006,56842,56842
노르웨이,2007,60840,60840
노르웨이,2008,50950,50950
노르웨이,2009,48859,48859
노르웨이,2010,53215,53215
노르웨이,2011,49397,49397
노르웨이,2012,51856,51856
노르웨이,2013,58283,58283
노르웨이,2014,64801,64801
노르웨이,2015,57456,57456
노르웨이,2016,60445,60445
노르웨이,2017,65924,65924
노르웨이,2018,63145,63145
노르웨이,2019,66946,66946
노르웨이,2020,75259,75259
폴란드,1995,14963,14774
폴란드,1996,18033,17844
폴란드,1997,20670,20407
폴란드,1998,28275,27325
폴란드,1999,27314,26355
폴란드,2000,27464,26562
폴란드,2001,26563,25648
폴란드,2002,29784,28650
폴란드,2003,33960,32579
폴란드,2004,36773,35324
폴란드,2005,42561,40864
폴란드,2006,48474,46371
폴란드,2007,65734,62967
폴란드,2008,62168,59306
폴란드,2009,79576,75923
폴란드,2010,93488,88822
폴란드,2011,97856,92646
폴란드,2012,108902,103396
폴란드,2013,106212,102236
폴란드,2014,100430,96462
폴란드,2015,94910,91395
폴란드,2016,114372,110535
폴란드,2017,113267,108975
폴란드,2018,116957,111656
폴란드,2019,128392,117196
폴란드,2020,154219,140316
포르투갈,1995,21039,15850
포르투갈,1996,20911,15918
포르투갈,1997,18925,15660
포르투갈,1998,19214,15825
포르투갈,1999,14088,8427
포르투갈,2000,14262,8909
포르투갈,2001,15060,9667
포르투갈,2002,17701,11179
포르투갈,2003,12813,5876
포르투갈,2004,11684,5174
포르투갈,2005,10364,3479
포르투갈,2006,9883,2064
포르투갈,2007,11546,1258
포르투갈,2008,11948,1309
포르투갈,2009,15985,2408
포르투갈,2010,20995,3652
포르투갈,2011,21336,1975
포르투갈,2012,22658,2196
포르투갈,2013,17552,2778
포르투갈,2014,19618,4869
포르투갈,2015,19397,6367
포르투갈,2016,25132,10899
포르투갈,2017,26109,10153
포르투갈,2018,24943,9159
포르투갈,2019,24981,6271
포르투갈,2020,29502,6199
슬로바키아,1995,3449,3364
슬로바키아,1996,3498,3419
슬로바키아,1997,3303,3230
슬로바키아,1998,2937,2869
슬로바키아,1999,3430,3371
슬로바키아,2000,4075,4022
슬로바키아,2001,4186,4141
슬로바키아,2002,9195,8809
슬로바키아,2003,12149,11678
슬로바키아,2004,14912,14417
슬로바키아,2005,15480,14901
슬로바키아,2006,13364,12647
슬로바키아,2007,18976,18032
슬로바키아,2008,18831,17854
슬로바키아,2009,1821,692
슬로바키아,2010,2161,719
슬로바키아,2011,2462,853
슬로바키아,2012,2519,818
슬로바키아,2013,2150,922
슬로바키아,2014,2614,1392
슬로바키아,2015,2892,1812
슬로바키아,2016,2892,1712
슬로바키아,2017,3622,2300
슬로바키아,2018,5231,3923
슬로바키아,2019,7167,5617
슬로바키아,2020,9347,7417
슬로베니아,1995,1821,1821
슬로베니아,1996,2297,2297
슬로베니아,1997,3315,3315
슬로베니아,1998,3639,3639
슬로베니아,1999,3168,3168
슬로베니아,2000,3196,3196
슬로베니아,2001,4397,4330
슬로베니아,2002,7063,6980
슬로베니아,2003,8598,8497
슬로베니아,2004,8899,8793
슬로베니아,2005,8160,8076
슬로베니아,2006,7139,7036
슬로베니아,2007,1066,980
슬로베니아,2008,957,868
슬로베니아,2009,1080,966
슬로베니아,2010,1071,927
슬로베니아,2011,991,831
슬로베니아,2012,952,782
슬로베니아,2013,922,799
슬로베니아,2014,1016,893
슬로베니아,2015,856,748
슬로베니아,2016,743,625
슬로베니아,2017,890,758
슬로베니아,2018,933,802
슬로베니아,2019,1015,860
슬로베니아,2020,1311,1118
스페인,1995,38706,34485
스페인,1996,62148,57927
스페인,1997,72537,68398
스페인,1998,60875,55258
스페인,1999,38000,33115
스페인,2000,35608,30989
스페인,2001,34236,29582
스페인,2002,40303,34536
스페인,2003,26809,19788
스페인,2004,19759,12389
스페인,2005,17227,9678
스페인,2006,19340,10822
스페인,2007,19054,11480
스페인,2008,20245,12414
스페인,2009,28201,18205
스페인,2010,31915,19146
스페인,2011,47099,32843
스페인,2012,50588,35523
스페인,2013,46308,35430
스페인,2014,50351,39494
스페인,2015,53970,44378
스페인,2016,63144,52666
스페인,2017,69409,57663
스페인,2018,70650,59030
스페인,2019,74715,60944
스페인,2020,81318,64168
스웨덴,1995,24296,24051
스웨덴,1996,19344,19107
스웨덴,1997,11048,10825
스웨덴,1998,14331,14098
스웨덴,1999,15305,15019
스웨덴,2000,15134,14863
스웨덴,2001,14239,13977
스웨덴,2002,17411,17127
스웨덴,2003,19991,19681
스웨덴,2004,24775,22158
스웨덴,2005,24890,22090
스웨덴,2006,28023,24778
스웨덴,2007,31037,27044
스웨덴,2008,29717,25896
스웨덴,2009,47291,42860
스웨덴,2010,48300,42565
