국가별,시점,생산자물가지수
이탈리아,2011,104.8
이탈리아,2012,108.5
이탈리아,2013,107.3
이탈리아,2014,105.8
이탈리아,2015,103
이탈리아,2016,101
이탈리아,2017,103.3
이탈리아,2018,106.7
이탈리아,2019,106.9
이탈리아,2020,103.4
라트비아,2000,57.9
라트비아,2001,58.6
라트비아,2002,58.8
라트비아,2003,60.9
라트비아,2004,65.8
라트비아,2005,71
라트비아,2006,78.2
라트비아,2007,90.8
라트비아,2008,101.5
라트비아,2009,97.2
라트비아,2010,100
라트비아,2011,107.6
라트비아,2012,111.6
라트비아,2013,113.6
라트비아,2014,114.1
라트비아,2015,113
라트비아,2016,110.3
라트비아,2017,113
라트비아,2018,118
라트비아,2019,120
라트비아,2020,117.7
리투아니아,2000,69.6
리투아니아,2001,67.6
리투아니아,2002,65.7
리투아니아,2003,65.4
리투아니아,2004,69.2
리투아니아,2005,77.3
리투아니아,2006,83
리투아니아,2007,88.7
리투아니아,2008,104.8
리투아니아,2009,90.7
리투아니아,2010,100
리투아니아,2011,113.9
리투아니아,2012,119.6
리투아니아,2013,116.8
리투아니아,2014,111
리투아니아,2015,100.3
리투아니아,2016,95.9
리투아니아,2017,100.8
리투아니아,2018,106.5
리투아니아,2019,106.4
리투아니아,2020,96.9
룩셈부르크,2000,74.7
룩셈부르크,2001,75.5
룩셈부르크,2002,74.7
룩셈부르크,2003,75.5
룩셈부르크,2004,83.1
룩셈부르크,2005,88.3
룩셈부르크,2006,93.9
룩셈부르크,2007,99.4
룩셈부르크,2008,105.5
룩셈부르크,2009,95.1
룩셈부르크,2010,100
룩셈부르크,2011,108.5
룩셈부르크,2012,108.8
룩셈부르크,2013,105
룩셈부르크,2014,103
룩셈부르크,2015,102.1
룩셈부르크,2016,100.9
룩셈부르크,2017,103.8
룩셈부르크,2018,108.6
룩셈부르크,2019,106.5
룩셈부르크,2020,104.5
네덜란드,2000,79.2
네덜란드,2001,79.8
네덜란드,2002,78.7
네덜란드,2003,79.3
네덜란드,2004,82.3
네덜란드,2005,87.5
네덜란드,2006,92
네덜란드,2007,96.6
네덜란드,2008,103.8
네덜란드,2009,91.8
네덜란드,2010,100
네덜란드,2011,110.9
네덜란드,2012,111.4
네덜란드,2013,110.1
네덜란드,2014,108.3
네덜란드,2015,102.9
네덜란드,2016,100.4
네덜란드,2017,105.2
네덜란드,2018,108.3
네덜란드,2019,109.3
네덜란드,2020,104.8
노르웨이,2000,48.5
노르웨이,2001,47.1
노르웨이,2002,45.6
노르웨이,2003,47.2
노르웨이,2004,52.7
노르웨이,2005,61.4
노르웨이,2006,69.3
노르웨이,2007,69.3
노르웨이,2008,85.1
노르웨이,2009,84.5
노르웨이,2010,100
노르웨이,2011,116.3
노르웨이,2012,119.5
노르웨이,2013,120.2
노르웨이,2014,118.6
노르웨이,2015,109
노르웨이,2016,100.2
노르웨이,2017,109.5
노르웨이,2018,125.8
노르웨이,2019,121.3
노르웨이,2020,108.9
폴란드,2000,77.5
폴란드,2001,78.8
폴란드,2002,79.7
폴란드,2003,81.9
폴란드,2004,87.7
폴란드,2005,88.3
폴란드,2006,90.3
폴란드,2007,92.3
폴란드,2008,94.7
폴란드,2009,97.9
폴란드,2010,100
폴란드,2011,107.5
폴란드,2012,111
폴란드,2013,109.5
폴란드,2014,109
폴란드,2015,106
폴란드,2016,105.7
폴란드,2017,108.5
폴란드,2018,110.8
폴란드,2019,112.4
폴란드,2020,111.8
포르투갈,2000,83.2
포르투갈,2001,85.7
