국가별,시점,경제활동참가율 (%)
노르웨이,2019,64.2
노르웨이,2020,63.8
폴란드,2000,56.8
폴란드,2001,56.9
폴란드,2002,55.7
폴란드,2003,54.6
폴란드,2004,54.4
폴란드,2005,54.9
폴란드,2006,54
폴란드,2007,53.7
폴란드,2008,54.2
폴란드,2009,54.9
폴란드,2010,55.3
폴란드,2011,55.6
폴란드,2012,55.9
폴란드,2013,55.9
폴란드,2014,56.3
폴란드,2015,56.2
폴란드,2016,56.2
폴란드,2017,56.4
폴란드,2018,56.3
폴란드,2019,56.2
폴란드,2020,56.1
포르투갈,2000,60.8
포르투갈,2001,61.4
포르투갈,2002,62
포르투갈,2003,62
포르투갈,2004,61.5
포르투갈,2005,61.9
포르투갈,2006,62.1
포르투갈,2007,62.2
포르투갈,2008,62
포르투갈,2009,61.4
포르투갈,2010,61.2
포르투갈,2011,60.5
포르투갈,2012,60.2
포르투갈,2013,59.3
포르투갈,2014,58.8
포르투갈,2015,58.6
포르투갈,2016,58.5
포르투갈,2017,59
포르투갈,2018,59.1
포르투갈,2019,59.3
포르투갈,2020,58
슬로바키아,2000,59.8
슬로바키아,2001,60.5
슬로바키아,2002,59.7
슬로바키아,2003,60.1
슬로바키아,2004,60.1
슬로바키아,2005,59.5
슬로바키아,2006,59.1
슬로바키아,2007,58.9
슬로바키아,2008,59.3
슬로바키아,2009,58.9
슬로바키아,2010,59
슬로바키아,2011,58.8
슬로바키아,2012,59.2
슬로바키아,2013,59.3
슬로바키아,2014,59.4
슬로바키아,2015,59.6
슬로바키아,2016,60.1
슬로바키아,2017,60
슬로바키아,2018,59.8
슬로바키아,2019,59.7
슬로바키아,2020,59.1
슬로베니아,2000,57.4
슬로베니아,2001,57.7
슬로베니아,2002,58.1
슬로베니아,2003,56.5
슬로베니아,2004,59
슬로베니아,2005,59.3
슬로베니아,2006,59.3
슬로베니아,2007,59.7
슬로베니아,2008,59.5
슬로베니아,2009,59.4
슬로베니아,2010,59.2
슬로베니아,2011,57.9
슬로베니아,2012,57.5
슬로베니아,2013,57.3
슬로베니아,2014,57.7
슬로베니아,2015,57.3
슬로베니아,2016,56.6
슬로베니아,2017,58.4
슬로베니아,2018,58.8
슬로베니아,2019,58.1
슬로베니아,2020,57.8
스페인,2000,52.8
스페인,2001,52.1
스페인,2002,53.8
