국가별,시점,국민부담률
오스트레일리아,2002,29.8
오스트레일리아,2003,30
오스트레일리아,2004,30.3
오스트레일리아,2005,30
오스트레일리아,2006,29.4
오스트레일리아,2007,29.5
오스트레일리아,2008,26.8
오스트레일리아,2009,25.5
오스트레일리아,2010,25.3
오스트레일리아,2011,25.9
오스트레일리아,2012,26.9
오스트레일리아,2013,27.1
오스트레일리아,2014,27.3
오스트레일리아,2015,27.9
오스트레일리아,2016,27.6
오스트레일리아,2017,28.5
오스트레일리아,2018,28.7
뉴질랜드,2000,32.5
뉴질랜드,2001,31.9
뉴질랜드,2002,33.3
뉴질랜드,2003,33.2
뉴질랜드,2004,34.2
뉴질랜드,2005,36.1
뉴질랜드,2006,35.3
뉴질랜드,2007,33.9
뉴질랜드,2008,32.9
뉴질랜드,2009,30.2
뉴질랜드,2010,30.3
뉴질랜드,2011,30
뉴질랜드,2012,31.6
뉴질랜드,2013,30.5
뉴질랜드,2014,31.3
뉴질랜드,2015,31.6
뉴질랜드,2016,31.5
뉴질랜드,2017,31.6
뉴질랜드,2018,32.9
뉴질랜드,2019,32.3
