국가별,시점,인당_국민총소득
룩셈부르크,2014,79189
룩셈부르크,2015,66378
룩셈부르크,2016,66705
룩셈부르크,2017,69742
룩셈부르크,2018,74732
네덜란드,2000,26617
네덜란드,2001,26794
네덜란드,2002,29196
네덜란드,2003,36106
네덜란드,2004,40577
네덜란드,2005,41279
네덜란드,2006,44953
네덜란드,2007,51318
네덜란드,2008,55607
네덜란드,2009,51699
네덜란드,2010,50893
네덜란드,2011,54769
네덜란드,2012,50818
네덜란드,2013,52768
네덜란드,2014,52614
네덜란드,2015,45214
네덜란드,2016,45458
네덜란드,2017,49237
네덜란드,2018,54164
네덜란드,2019,53260
노르웨이,2000,37538
노르웨이,2001,38480
노르웨이,2002,43127
노르웨이,2003,50362
노르웨이,2004,57635
노르웨이,2005,67412
노르웨이,2006,74009
노르웨이,2007,84698
노르웨이,2008,96459
노르웨이,2009,80465
노르웨이,2010,88706
노르웨이,2011,101663
노르웨이,2012,102485
노르웨이,2013,104013
노르웨이,2014,99990
노르웨이,2015,77278
노르웨이,2016,73313
노르웨이,2017,77984
노르웨이,2018,84942
노르웨이,2019,77578
노르웨이,2020,69761
폴란드,2000,4448
폴란드,2001,4939
폴란드,2002,5155
폴란드,2003,5612
폴란드,2004,6432
폴란드,2005,7838
폴란드,2006,8794
폴란드,2007,10808
폴란드,2008,13664
폴란드,2009,11119
폴란드,2010,12072
폴란드,2011,13301
폴란드,2012,12553
폴란드,2013,13193
폴란드,2014,13708
폴란드,2015,12105
폴란드,2016,11951
폴란드,2017,13301
폴란드,2018,14849
폴란드,2019,15101
폴란드,2020,15222
포르투갈,2000,11303
포르투갈,2001,11547
포르투갈,2002,12721
포르투갈,2003,15649
포르투갈,2004,17826
포르투갈,2005,18515
포르투갈,2006,19222
포르투갈,2007,22064
포르투갈,2008,23930
포르투갈,2009,22214
포르투갈,2010,21736
포르투갈,2011,22786
포르투갈,2012,20056
포르투갈,2013,21326
포르투갈,2014,21587
포르투갈,2015,18708
포르투갈,2016,19493
포르투갈,2017,20958
포르투갈,2018,23038
포르투갈,2019,22832
포르투갈,2020,22340
슬로바키아,2000,5381
슬로바키아,2001,5699
슬로바키아,2002,6490
슬로바키아,2003,8252
슬로바키아,2004,10212
슬로바키아,2005,11333
슬로바키아,2006,12734
슬로바키아,2007,15571
슬로바키아,2008,18290
슬로바키아,2009,16399
슬로바키아,2010,16363
슬로바키아,2011,17695
슬로바키아,2012,17165
슬로바키아,2013,18096
슬로바키아,2014,18432
슬로바키아,2015,15882
슬로바키아,2016,16047
슬로바키아,2017,17148
슬로바키아,2018,19076
슬로바키아,2019,18923
슬로바키아,2020,18825
슬로베니아,2000,10183
슬로베니아,2001,10495
슬로베니아,2002,11717
슬로베니아,2003,14749
슬로베니아,2004,17050
슬로베니아,2005,17978
슬로베니아,2006,19469
슬로베니아,2007,23310
슬로베니아,2008,26741
슬로베니아,2009,24355
슬로베니아,2010,23258
