국가별,시점,경상수지
룩셈부르크,1999,1650
룩셈부르크,2000,2562
룩셈부르크,2001,1674
룩셈부르크,2002,1689
룩셈부르크,2003,2148
룩셈부르크,2004,2526
룩셈부르크,2005,2609
룩셈부르크,2006,2852
룩셈부르크,2007,3378
룩셈부르크,2008,3659
룩셈부르크,2009,3005
룩셈부르크,2010,3268
룩셈부르크,2011,3473
룩셈부르크,2012,3187
룩셈부르크,2013,3437
룩셈부르크,2014,3345
룩셈부르크,2015,2949
룩셈부르크,2016,2958
룩셈부르크,2017,3336
룩셈부르크,2018,3333
룩셈부르크,2019,3095
룩셈부르크,2020,2999
네덜란드,1995,25773
네덜란드,1996,21502
네덜란드,1997,25077
네덜란드,1998,13031
네덜란드,1999,15682
네덜란드,2000,7257
네덜란드,2001,9814
네덜란드,2002,11032
네덜란드,2003,29892
네덜란드,2004,44317
네덜란드,2005,41569
네덜란드,2006,57194
네덜란드,2007,50051
네덜란드,2008,38960
네덜란드,2009,50059
네덜란드,2010,61803
네덜란드,2011,81369
네덜란드,2012,89514
네덜란드,2013,85497
네덜란드,2014,75949
네덜란드,2015,48583
네덜란드,2016,62968
네덜란드,2017,90231
네덜란드,2018,99060
네덜란드,2019,85281
네덜란드,2020,63655
노르웨이,1995,5233
노르웨이,1996,10969
노르웨이,1997,10036
노르웨이,1998,6
노르웨이,1999,8859
노르웨이,2000,25079
노르웨이,2001,27546
노르웨이,2002,24269
노르웨이,2003,27698
노르웨이,2004,33000
노르웨이,2005,49967
노르웨이,2006,55913
노르웨이,2007,49732
노르웨이,2008,72915
노르웨이,2009,45169
노르웨이,2010,50258
노르웨이,2011,66454
노르웨이,2012,63595
노르웨이,2013,53450
노르웨이,2014,54965
노르웨이,2015,31106
노르웨이,2016,14766
노르웨이,2017,21650
노르웨이,2018,34961
노르웨이,2019,11688
노르웨이,2020,7185
폴란드,1995,854
폴란드,1996,-3264
폴란드,1997,-5744
폴란드,1998,-6901
폴란드,1999,-12487
폴란드,2000,-10343
폴란드,2001,-5946
폴란드,2002,-5544
폴란드,2003,-5473
폴란드,2004,-14625
폴란드,2005,-8845
폴란드,2006,-14903
폴란드,2007,-28734
폴란드,2008,-37306
폴란드,2009,-18562
폴란드,2010,-26660
폴란드,2011,-28346
폴란드,2012,-20193
폴란드,2013,-9465
폴란드,2014,-14212
폴란드,2015,-4347
폴란드,2016,-3719
폴란드,2017,-1960
폴란드,2018,-7530
폴란드,2019,2931
폴란드,2020,20549
포르투갈,1995,-132
포르투갈,1996,-4906
포르투갈,1997,-6632
포르투갈,1998,-8379
포르투갈,1999,-11284
포르투갈,2000,-12837
포르투갈,2001,-12687
포르투갈,2002,-11211
포르투갈,2003,-11012
포르투갈,2004,-15114
포르투갈,2005,-18937
포르투갈,2006,-21356
포르투갈,2007,-23232
포르투갈,2008,-31231
포르투갈,2009,-25123
포르투갈,2010,-24405
포르투갈,2011,-14718
포르투갈,2012,-3563
포르투갈,2013,3716
포르투갈,2014,338
포르투갈,2015,467
포르투갈,2016,2411
포르투갈,2017,3040
포르투갈,2018,1325
포르투갈,2019,888
포르투갈,2020,-2606
슬로바키아,1995,390
슬로바키아,1996,-2090
슬로바키아,1997,-1961
슬로바키아,1998,-2126
슬로바키아,1999,-1155
슬로바키아,2000,-694
슬로바키아,2001,-1742
슬로바키아,2002,-1955
슬로바키아,2003,-282
슬로바키아,2004,-4359
슬로바키아,2005,-5125
슬로바키아,2006,-5452
슬로바키아,2007,-4633
슬로바키아,2008,-6270
슬로바키아,2009,-3021
슬로바키아,2010,-4210
슬로바키아,2011,-4909
슬로바키아,2012,889
슬로바키아,2013,1797
슬로바키아,2014,1199
슬로바키아,2015,-1849
