국가별,시점,인당_GDP,부채비율,실업률,상품및서비스수입,상품및서비스수출,정치적안정성,규제의질,경상수지
러시아,2017,10720.33266,12.6,5.21,17.31519269,5.013643181,24,33,2.044126701
러시아,2018,11287.35528,12,4.85,2.656747628,5.554217178,27,33,6.979898341
러시아,2019,11497.64925,12.4,4.6,3.412168346,0.71607605,26,36,3.875632887
러시아,2020,10126.72179,17.7,5.73,-11.97788781,-4.267932438,21,36,2.426988457
레바논,2005,4575.107459,179,8.27,-5.477837666,4.699767979,18,50,-12.78298304
레바논,2006,4626.853003,183,8.62,-3.331132895,-3.276190245,6,48,-5.069146821
레바논,2007,5207.792723,169.3,8.98,13.58267461,11.64358112,3,47,-6.463750387
레바논,2008,6111.327281,161.5,7.45,14.31616704,8.245171483,5,47,-14.08932249
레바논,2009,7354.953605,144.5,6.36,18.57328319,9.611833876,9,52,-19.04241764
레바논,2010,7761.641489,136.8,6.4,5.890774021,9.864711052,7,54,-19.64433796
레바논,2011,7675.30894,134.4,6.39,-3.033522951,2.605928689,6,52,-13.83406905
레바논,2012,7952.151266,131,6.4,1.562213292,-14.96796843,6,48,-23.42799885
레바논,2013,7933.23332,135.3,6.41,8.754975004,3.438090826,7,49,-25.49553401
레바논,2014,7687.759336,138.3,6.35,0.229524825,-7.011691735,7,46,-26.20904822
레바논,2015,7663.920232,140.8,6.31,8.53478903,10.2307171,7,44,-17.06105821
레바논,2016,7653.73363,146.2,6.26,5.890324247,-1.501587907,8,41,-20.38158584
레바논,2017,7819.60467,149.7,6.18,2.079983224,3.945206225,9,41,-22.75470676
레바논,2018,8058.444337,154.9,6.1,1.186770338,-4.625143007,7,37,-24.18202784
레바논,2019,7578.172368,174.5,6.04,-13.07349708,-2.945619452,7,37,-21.89994711
레바논,2020,4649.547646,171.7,6.61,-50.27589457,-56.73657066,8,29,-9.325051826
루마니아,2005,4617.929016,15.9,7.17,19.74325474,9.20332782,49,59,-8.674771984
루마니아,2006,5757.496429,12.4,7.27,26.67951944,11.77130013,50,65,-10.66616824
루마니아,2007,8360.166321,11.9,6.41,41.29586199,20.89920691,50,67,-13.70351361
루마니아,2008,10435.04398,12.3,5.79,11.19810978,13.75069789,50,68,-11.65864785
루마니아,2009,8548.118672,21.8,6.86,-20.80800085,-5.68382756,57,71,-4.729442642
루마니아,2010,8214.076893,29.6,6.96,12.59776013,15.52420303,54,72,-5.097999956
루마니아,2011,9099.217539,34,7.18,9.721519558,12.11625319,54,74,-5.060115855
루마니아,2012,8507.104775,37.1,6.79,-1.816149964,1.105179726,49,69,-4.805596294
루마니아,2013,9547.852151,37.6,7.1,9.08814857,20.57811662,54,72,-0.958315922
루마니아,2014,10043.67745,39.2,6.8,8.839643777,8.535929879,49,72,-0.28392301
루마니아,2015,8969.148921,37.8,6.81,8.507854673,4.583191799,54,72,-0.785509522
루마니아,2016,9548.587403,37.3,5.9,16.58829673,16.33959231,56,71,-1.596792431
루마니아,2017,10807.00917,35.1,4.93,11.46689188,7.765226199,49,71,-3.110205638
루마니아,2018,12398.98198,34.7,4.19,8.625570484,5.320070845,49,68,-4.61201876
루마니아,2019,12899.34611,35.3,3.91,8.551275179,5.358309736,65,67,-4.876069906
루마니아,2020,12896.08862,47.2,4.84,-5.0877802,-9.692398031,64,64,-5.075313115
룩셈부르크,2005,80957.94128,8,4.49,6.14767862,5.976379671,95,98,6.928424463
룩셈부르크,2006,90712.79929,8.2,4.73,11.49164141,12.92243571,99,97,6.652209053
룩셈부르크,2007,107338.8652,8.1,4.07,2.563602841,5.128287951,99,97,6.555477017
룩셈부르크,2008,119932.2437,14.6,5.06,2.180578269,-0.327642744,100,96,6.244050058
룩셈부르크,2009,108987.6776,15.3,5.12,-9.073442642,-7.24332805,99,95,5.538071594
룩셈부르크,2010,110777.9079,19.1,4.36,14.25311677,10.15632439,99,96,5.819976748
룩셈부르크,2011,118869.2999,18.5,4.9,6.745900027,4.388150504,96,99,5.636912248
룩셈부르크,2012,112591.1162,20.9,5.14,1.760359091,1.618923306,96,97,5.255124367
룩셈부르크,2013,119966.0349,22.4,5.85,6.229425302,6.316169227,95,97,5.20502786
룩셈부르크,2014,123514.1967,21.9,5.85,8.236166684,6.516140792,98,92,4.935137727
룩셈부르크,2015,105419.6085,21.1,6.67,5.707649672,5.139412088,98,93,4.864362749
룩셈부르크,2016,106826.7264,19.6,6.29,3.751992726,5.308806701,98,94,4.722503115
룩셈부르크,2017,109921.0314,21.8,5.52,0.75352596,-0.226858073,95,94,4.551914476
룩셈부르크,2018,117197.4817,20.8,5.59,3.223378216,3.582384285,96,95,4.56922996
룩셈부르크,2019,113218.7133,22.3,5.6,6.856885005,5.791559454,95,95,4.709024228
룩셈부르크,2020,116014.6025,24.8,6.96,1.585793733,1.252573218,94,99,4.021818776
리투아니아,2005,7854.765279,17.6,8.33,19.65934337,19.84298986,69,78,-7.339397194
리투아니아,2006,9230.707981,17.3,5.78,14.3023996,12.80725643,75,78,-10.65995297
리투아니아,2007,12285.44705,15.9,4.25,10.64759786,3.193201983,76,83,-15.35688683
리투아니아,2008,14944.99665,14.6,5.83,10.82030545,11.6176214,71,83,-13.59613559
리투아니아,2009,11820.77616,28,13.79,-28.65375726,-13.67587647,69,78,2.250970357
리투아니아,2010,11987.50841,36.2,17.81,16.8107196,16.38173229,71,79,0.195344888
리투아니아,2011,14376.94786,37.1,15.39,14.21742908,14.54686716,69,79,-3.657387213
리투아니아,2012,14367.70942,39.7,13.37,5.169698869,10.84752963,73,83,-1.598675392
리투아니아,2013,15729.65247,38.7,11.77,5.811388557,7.26975493,81,85,1.699407505
리투아니아,2014,16551.0182,40.5,10.7,-1.67203193,-1.822678301,70,86,3.405202182
리투아니아,2015,14258.22933,42.5,9.12,9.353105141,2.420694958,71,87,-2.448328234
리투아니아,2016,14998.12506,39.7,7.86,4.041578274,4.927170944,74,85,-1.102176895
리투아니아,2017,16843.69965,39.1,7.07,11.14062313,13.52113524,73,83,0.63866203
리투아니아,2018,19176.81215,33.7,6.15,6.019045763,6.805951937,70,82,0.233526251
리투아니아,2019,19575.76848,35.9,6.26,6.056449192,9.927822371,74,83,3.464197201
리투아니아,2020,20233.64135,46.6,8.43,-4.380181648,0.434039735,75,83,7.360282752
말레이시아,2005,5587.02478,42.1,3.53,8.910841266,8.301906704,65,69,13.9199995
말레이시아,2006,6209.126167,40.6,3.32,8.170059537,6.682157559,54,67,16.1038232
말레이시아,2007,7243.456801,40.1,3.23,6.025964369,4.428579631,49,67,15.38125957
말레이시아,2008,8474.587762,39.8,3.34,2.339213092,1.573082929,49,61,16.85962992
말레이시아,2009,7292.494973,50.8,3.69,-12.73144562,-10.87841744,43,62,15.72299714
말레이시아,2010,9040.568495,49.6,3.25,15.52270283,10.41906977,51,70,10.05571843
말레이시아,2011,10399.37021,50,3.05,6.310246054,4.179392921,49,71,10.90499128
말레이시아,2012,10817.43171,51.6,3.04,2.912051496,-1.741856306,44,70,5.18877827
말레이시아,2013,10970.1043,53,3.11,1.723894786,0.259247755,47,73,3.466133636
말레이시아,2014,11319.06194,52.7,2.88,3.989014315,5.040280764,58,76,4.391645334
말레이시아,2015,9955.242722,53.6,3.1,0.803167934,0.252695295,57,74,3.008923124
말레이시아,2016,9817.78709,51.9,3.44,1.434147644,1.319478907,50,75,2.36769105
말레이시아,2017,10259.30481,50,3.41,10.19179986,8.682999815,51,75,2.807844141
말레이시아,2018,11380.08209,51.2,3.3,1.488265156,1.93299044,55,75,2.237064873
말레이시아,2019,11432.823,52.5,3.31,-2.388044357,-1.044745773,54,74,3.502941253
말레이시아,2020,10412.34898,60.7,4.55,-8.386124577,-8.898892691,51,74,4.255569104
멕시코,2005,8277.671564,20.5,3.56,5.379141883,6.314580455,33,58,-1.031732217
멕시코,2006,9068.294218,18.7,3.57,8.685599241,7.811456749,27,63,-0.364106153
멕시코,2007,9642.680517,17.9,3.63,4.826423036,1.974058854,24,64,-0.940203488
멕시코,2008,10016.57121,21,3.87,3.281476563,-1.01744059,19,63,-1.514311355
멕시코,2009,8002.972178,31.2,5.36,-15.94898539,-10.85494719,22,58,-0.861861943
멕시코,2010,9271.398396,31.5,5.3,17.05531082,22.36240871,23,58,-0.456605033
멕시코,2011,10203.4213,33.1,5.17,5.618029808,7.713476027,26,58,-1.007403502
멕시코,2012,10241.72783,33.8,4.89,5.416564974,6.524536974,25,68,-1.5519212
