국가별,시점,신용등급점수
아이슬란드,2007,16
아이슬란드,2008,15.14
아이슬란드,2009,11
아이슬란드,2010,10.83
아이슬란드,2011,10.75
아이슬란드,2012,11
아이슬란드,2013,11.33
아이슬란드,2014,11
아이슬란드,2015,12.25
아이슬란드,2016,13
아이슬란드,2017,14.2
아이슬란드,2018,14
아이슬란드,2019,15
아이슬란드,2020,15
아일랜드,2005,20
아일랜드,2006,20
아일랜드,2007,20
아일랜드,2008,20
아일랜드,2009,19.22
아일랜드,2010,16.36
아일랜드,2011,12.9
아일랜드,2012,13.33
아일랜드,2013,11.5
아일랜드,2014,13.625
아일랜드,2015,14.6
아일랜드,2016,15
아일랜드,2017,15.5
아일랜드,2018,15.5
아일랜드,2019,17
아일랜드,2020,16
에스토니아,2005,15
에스토니아,2006,15.33
에스토니아,2007,15.5
에스토니아,2008,15
에스토니아,2009,14.6
에스토니아,2010,14.33
에스토니아,2011,16.2
에스토니아,2012,17
에스토니아,2013,17
에스토니아,2014,17
에스토니아,2015,17
에스토니아,2016,17
에스토니아,2017,16.5
에스토니아,2018,17
에스토니아,2019,17
에스토니아,2020,17
에콰도르,2005,4.5
에콰도르,2006,4
에콰도르,2007,3.5
에콰도르,2008,2.38
에콰도르,2009,3
에콰도르,2010,5
에콰도르,2011,4
에콰도르,2012,5
에콰도르,2013,6
에콰도르,2014,6
에콰도르,2015,6
에콰도르,2016,6
에콰도르,2017,5
에콰도르,2018,5
에콰도르,2019,5
에콰도르,2020,2.6
엘살바도르,2005,10
엘살바도르,2006,10
엘살바도르,2007,10
엘살바도르,2008,10
엘살바도르,2009,9.75
엘살바도르,2010,9.75
엘살바도르,2011,8.67
엘살바도르,2012,8.33
엘살바도르,2013,8
엘살바도르,2014,7
엘살바도르,2015,7.5
엘살바도르,2016,6
엘살바도르,2017,2.7
엘살바도르,2018,5
엘살바도르,2019,5
엘살바도르,2020,5
영국,2005,20
영국,2006,20
영국,2007,20
영국,2008,20
영국,2009,20
영국,2010,20
영국,2011,20
영국,2012,20
영국,2013,19
영국,2014,20
영국,2015,20
영국,2016,18.33
영국,2017,18
영국,2018,18
영국,2019,18
영국,2020,18.25
오스트리아,2005,20
오스트리아,2006,20
오스트리아,2007,20
오스트리아,2008,20
오스트리아,2009,20
오스트리아,2010,20
오스트리아,2011,20
오스트리아,2012,19
오스트리아,2013,19
오스트리아,2014,19
오스트리아,2015,20
오스트리아,2016,19
오스트리아,2017,19
오스트리아,2018,19
오스트리아,2019,19
오스트리아,2020,19
온두라스,2005,6
온두라스,2006,6
온두라스,2007,6
온두라스,2008,7
온두라스,2009,6.5
온두라스,2010,6.5
온두라스,2011,6
온두라스,2012,7
온두라스,2013,6.33
온두라스,2014,5
온두라스,2015,5
온두라스,2016,6.5
온두라스,2017,7.5
온두라스,2018,7.5
온두라스,2019,7.5
온두라스,2020,7.5
우간다,2005,6
우간다,2006,6
우간다,2007,6
우간다,2008,7
우간다,2009,6
우간다,2010,6
우간다,2011,6
우간다,2012,7
우간다,2013,6.5
우간다,2014,6
우간다,2015,7
우간다,2016,6.5
우간다,2017,6.5
우간다,2018,6.5
우간다,2019,6.5
우간다,2020,7
우루과이,2005,7
우루과이,2006,6.33
우루과이,2007,8
우루과이,2008,7.5
우루과이,2009,8
우루과이,2010,9
우루과이,2011,9.67
우루과이,2012,10.4
우루과이,2013,11
우루과이,2014,12
우루과이,2015,12
우루과이,2016,12
우루과이,2017,12
우루과이,2018,11
우루과이,2019,11
우루과이,2020,11
우크라이나,2005,7.75
우크라이나,2006,7.75
우크라이나,2007,8
우크라이나,2008,7.11
우크라이나,2009,5.25
우크라이나,2010,5.86
우크라이나,2011,6
우크라이나,2012,6
우크라이나,2013,5
우크라이나,2014,2.86
우크라이나,2015,1.56
우크라이나,2016,5
우크라이나,2017,3
우크라이나,2018,4
우크라이나,2019,5.33
우크라이나,2020,5.5
이스라엘,2005,14
이스라엘,2006,14.5
이스라엘,2007,14.5
이스라엘,2008,15.25
이스라엘,2009,15.25
이스라엘,2010,15.25
이스라엘,2011,16
이스라엘,2012,16
이스라엘,2013,16
이스라엘,2014,15
이스라엘,2015,15
이스라엘,2016,15.5
이스라엘,2017,16
이스라엘,2018,16.5
이스라엘,2019,16.5
이스라엘,2020,16
이집트,2005,10
이집트,2006,10
이집트,2007,10
이집트,2008,10
이집트,2009,10
이집트,2010,10
이집트,2011,8.18
이집트,2012,6
이집트,2013,5
이집트,2014,5.25
이집트,2015,5
이집트,2016,5
이집트,2017,5
이집트,2018,6
이집트,2019,6
이집트,2020,6
이탈리아,2005,17.5
이탈리아,2006,17
이탈리아,2007,17
이탈리아,2008,17
이탈리아,2009,17
이탈리아,2010,17
이탈리아,2011,16
이탈리아,2012,14
이탈리아,2013,13
이탈리아,2014,12
이탈리아,2015,12
이탈리아,2016,13
이탈리아,2017,12.33
이탈리아,2018,11.75
이탈리아,2019,11.75
이탈리아,2020,12
인도,2005,10
인도,2006,10.5
인도,2007,11
인도,2008,11
인도,2009,11
인도,2010,11
인도,2011,11
인도,2012,11
인도,2013,11
인도,2014,11
인도,2015,11.5
인도,2016,11.5
인도,2017,12
인도,2018,12
인도,2019,12
인도,2020,11.5
인도네시아,2005,7
인도네시아,2006,7.2
인도네시아,2007,7.5
인도네시아,2008,9
인도네시아,2009,8.33
인도네시아,2010,9.25
인도네시아,2011,10.25
인도네시아,2012,11
인도네시아,2013,10
인도네시아,2014,10
인도네시아,2015,10
인도네시아,2016,11
인도네시아,2017,11.67
인도네시아,2018,12
인도네시아,2019,12
인도네시아,2020,12
일본,2005,18
일본,2006,18.5
일본,2007,18
일본,2008,18
일본,2009,18
일본,2010,18
일본,2011,17.5
일본,2012,16
일본,2013,16
일본,2014,16
일본,2015,15.67
일본,2016,15
일본,2017,15
일본,2018,16
일본,2019,16
일본,2020,15.5
체코,2005,14.5
체코,2006,16
체코,2007,15
체코,2008,16
체코,2009,16
체코,2010,15.5
체코,2011,16.33
체코,2012,16.33
체코,2013,16.33
체코,2014,16.33
체코,2015,16.33
체코,2016,16.33
체코,2017,16
체코,2018,16.5
체코,2019,17
체코,2020,17
칠레,2005,15
칠레,2006,14.75
칠레,2007,15.5
칠레,2008,15
칠레,2009,16
칠레,2010,16.5
칠레,2011,16
칠레,2012,17
칠레,2013,17
칠레,2014,17
칠레,2015,17
칠레,2016,16
칠레,2017,16.25
칠레,2018,16
칠레,2019,16
칠레,2020,15.25
카메룬,2005,5
카메룬,2006,5.5
카메룬,2007,6
카메룬,2008,6
카메룬,2009,6
