국가별,시점,외환보유액
아일랜드,2012,1708
아일랜드,2013,1635
아일랜드,2014,1748
아일랜드,2015,2203
아일랜드,2016,3592
아일랜드,2017,4413
아일랜드,2018,5223
아일랜드,2019,5732
아일랜드,2020,7464
이탈리아,2000,47201
이탈리아,2001,46216
이탈리아,2002,55622
이탈리아,2003,63264
이탈리아,2004,62386
이탈리아,2005,65954
이탈리아,2006,75773
이탈리아,2007,94325
이탈리아,2008,105275
이탈리아,2009,132798
이탈리아,2010,158853
이탈리아,2011,173301
이탈리아,2012,181670
이탈리아,2013,145488
이탈리아,2014,142224
이탈리아,2015,130557
이탈리아,2016,136044
이탈리아,2017,151199
이탈리아,2018,152508
이탈리아,2019,175256
이탈리아,2020,210955
라트비아,2000,919
라트비아,2001,1218
라트비아,2002,1327
라트비아,2003,1535
라트비아,2004,2022
라트비아,2005,2361
라트비아,2006,4509
라트비아,2007,5758
라트비아,2008,5248
라트비아,2009,6907
라트비아,2010,7606
라트비아,2011,6383
라트비아,2012,7523
라트비아,2013,7893
라트비아,2014,3227
라트비아,2015,3446
라트비아,2016,3514
라트비아,2017,4614
라트비아,2018,4371
라트비아,2019,4479
라트비아,2020,5290
리투아니아,2000,1359
리투아니아,2001,1669
리투아니아,2002,2413
리투아니아,2003,3450
리투아니아,2004,3594
리투아니아,2005,3816
리투아니아,2006,5773
리투아니아,2007,7712
리투아니아,2008,6442
리투아니아,2009,6626
리투아니아,2010,6599
리투아니아,2011,8210
리투아니아,2012,8529
리투아니아,2013,8072
리투아니아,2014,8728
리투아니아,2015,1697
리투아니아,2016,2602
리투아니아,2017,4450
리투아니아,2018,5771
리투아니아,2019,5085
리투아니아,2020,4847
룩셈부르크,2000,98
룩셈부르크,2001,127
룩셈부르크,2002,178
룩셈부르크,2003,311
룩셈부르크,2004,331
룩셈부르크,2005,279
룩셈부르크,2006,265
룩셈부르크,2007,206
룩셈부르크,2008,398
룩셈부르크,2009,810
룩셈부르크,2010,849
룩셈부르크,2011,1014
룩셈부르크,2012,991
룩셈부르크,2013,963
룩셈부르크,2014,863
룩셈부르크,2015,771
룩셈부르크,2016,974
룩셈부르크,2017,878
룩셈부르크,2018,939
룩셈부르크,2019,1055
룩셈부르크,2020,1189
네덜란드,2000,17688
네덜란드,2001,16897
네덜란드,2002,18948
네덜란드,2003,21597
네덜란드,2004,21603
네덜란드,2005,20448
네덜란드,2006,23902
네덜란드,2007,26983
네덜란드,2008,28509
네덜란드,2009,39609
네덜란드,2010,46240
네덜란드,2011,51268
네덜란드,2012,54816
